http://43.242.227.10:9053,IN,Pune
http://20.198.96.26:80,IN,Pune
http://103.51.21.250:83,IN,Durg
http://210.16.85.42:8080,IN,Cuddalore
http://139.5.64.108:80,IN,Unknown
http://103.135.189.141:83,IN,Tiruchirappalli
http://103.143.214.77:5678,IN,Unknown
http://103.123.235.114:8080,IN,Unknown
http://43.251.215.2:8080,IN,Unknown
http://103.51.153.82:80,IN,Pune
http://103.132.152.201:1452,IN,Unknown
http://45.249.59.57:6033,IN,Unknown
http://111.125.242.34:80,IN,Mumbai
http://185.226.207.228:5777,IN,Mumbai
http://103.48.69.33:83,IN,Hyderabad
http://183.87.160.62:84,IN,Mumbai
http://45.64.11.105:8080,IN,New Delhi
http://103.130.106.113:84,IN,Kolkata
http://202.65.158.237:84,IN,Hyderabad
http://103.135.189.141:84,IN,Tiruchirappalli
http://103.135.189.2:84,IN,Tiruchirappalli
http://203.115.123.163:1256,IN,Mumbai
http://103.41.97.225:84,IN,Hyderabad
http://202.65.158.237:82,IN,Hyderabad
http://103.48.68.11:84,IN,Hyderabad
